Equipo,Escalador,X,Y,Z,Inclinacion X,Inclinacion Y,Cima
LIFFT,ivan,13854.65509063169,13948.007628452744,3166.3,-183.505,-179.667,
LIFFT,facu,14075.466219471386,14158.739849239937,3097.5,-186.891,-183.036,
LIFFT,lucas,13914.202036908662,13939.068073134482,3158.2,-183.96,-180.004,
LIFFT,fran,13999.39670563439,14050.263863531187,3127.0,-185.475,-181.563,
LIFFT,ivan,13854.65509063169,13948.007628452744,3166.3,-183.505,-179.667,
LIFFT,facu,14075.466219471386,14158.739849239937,3097.5,-186.891,-183.036,
LIFFT,lucas,13914.202036908662,13939.068073134482,3158.2,-183.96,-180.004,
LIFFT,fran,13999.39670563439,14050.263863531187,3127.0,-185.475,-181.563,
LIFFT,ivan,13854.65509063169,13948.007628452744,3166.3,-183.505,-179.667,
LIFFT,facu,14075.466219471386,14158.739849239937,3097.5,-186.891,-183.036,
LIFFT,lucas,13914.202036908662,13939.068073134482,3158.2,-183.96,-180.004,
LIFFT,fran,13999.39670563439,14050.263863531187,3127.0,-185.475,-181.563,
LIFFT,ivan,13854.65509063169,13948.007628452744,3166.3,-183.505,-179.667,
LIFFT,facu,14059.13298657232,14205.996864624585,3092.6,-187.078,-183.333,
LIFFT,lucas,13864.295939938462,13942.130994158764,3165.7,-183.548,-179.683,
LIFFT,fran,14014.817736574934,14097.82636772021,3117.0,-185.94,-182.084,
LIFFT,ivan,13872.990214162235,13994.524541990935,3156.1,-183.988,-180.199,
LIFFT,facu,14059.13298657232,14205.996864624585,3092.6,-187.078,-183.333,
LIFFT,lucas,13864.295939938462,13942.130994158764,3165.7,-183.548,-179.683,
LIFFT,fran,14014.817736574934,14097.82636772021,3117.0,-185.94,-182.084,
LIFFT,ivan,13872.990214162235,13994.524541990935,3156.1,-183.988,-180.199,
LIFFT,facu,14059.13298657232,14205.996864624585,3092.6,-187.078,-183.333,
LIFFT,lucas,13864.295939938462,13942.130994158764,3165.7,-183.548,-179.683,
LIFFT,fran,14014.817736574934,14097.82636772021,3117.0,-185.94,-182.084,
LIFFT,ivan,13872.990214162235,13994.524541990935,3156.1,-183.988,-180.199,
LIFFT,facu,14059.13298657232,14205.996864624585,3092.6,-187.078,-183.333,
LIFFT,lucas,13864.295939938462,13942.130994158764,3165.7,-183.548,-179.683,
LIFFT,fran,14014.817736574934,14097.82636772021,3117.0,-185.94,-182.084,
LIFFT,ivan,13872.990214162235,13994.524541990935,3156.1,-183.988,-180.199,
LIFFT,facu,14066.797901766795,14255.405862540567,3083.5,-187.488,-183.816,
LIFFT,lucas,13821.884979269014,13915.648728109678,3176.6,-182.995,-179.158,
LIFFT,fran,14018.609108229728,14047.970319932852,3124.3,-185.626,-181.677,
LIFFT,ivan,13825.950127782122,13977.57667270446,3166.3,-183.461,-179.725,
LIFFT,facu,14066.797901766795,14255.405862540567,3083.5,-187.488,-183.816,
LIFFT,lucas,13821.884979269014,13915.648728109678,3176.6,-182.995,-179.158,
LIFFT,fran,14018.609108229728,14047.970319932852,3124.3,-185.626,-181.677,
LIFFT,ivan,13825.950127782122,13977.57667270446,3166.3,-183.461,-179.725,
LIFFT,facu,14066.797901766795,14255.405862540567,3083.5,-187.488,-183.816,
LIFFT,lucas,13821.884979269014,13915.648728109678,3176.6,-182.995,-179.158,
