EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14266.5, 13538.408459782862, 3164.31783439771
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 15640.0, 2866.370510396975
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13118.5, 12473.197213127998, 3497.3395177712027
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 15136.225329765159, 14656.0, 2837.5940996312966
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 15050.0, 14000.0, 2961.6465028355383
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 15127.565075727329, 14651.0, 2839.9430748304453
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14798.0, 15382.17654444, 2772.3807415753813
EQUIPO: CopNieve  	ESCALADOR: emilio    	POSICION: 14000.0, 15344.0, 2916.3312816635157
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13475.0, 14909.326673973665, 3074.859301203762
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 12654.196522519007, 14777.0, 3226.3125858387343
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 15386.0, 14000.0, 2904.4617164461242
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13017.927192108473, 14567.0, 3202.1452575097937
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14273.0, 13527.150129533664, 3165.0283948092524
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 15680.0, 2859.5682419659734
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13097.0, 12435.958120765266, 3505.683784430248
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 15163.93814268626, 14672.0, 2830.068777290748
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 15075.0, 14000.0, 2957.4210775047254
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 15154.411863244646, 14666.5, 2832.657085263058
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14817.0, 15415.08550978381, 2763.353201829931
EQUIPO: CopNieve  	ESCALADOR: emilio    	POSICION: 14000.0, 15376.0, 2910.962056710775
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13462.5, 14930.977309068276, 3073.3998139509044
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 12622.153582578983, 14795.5, 3228.4219749485083
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 15419.0, 14000.0, 2898.799315689981
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 12994.544506206294, 14580.5, 3203.7111946630307
